Situação;Descrição;Código;Código NCM;CEST;Peso Líquido;Peso Bruto;Altura;Largura;Profundidade;Marca;Modelo;Prazo de calibração;Dias de Crossdocking;Cupom Fiscal (PDV);Marketplace;Tipo do Item (Bloco K);Características
Ativo;MALAO DE FERRO - 100X165X200CM - 2 TON - 426KG (PAT0001);PAT0001;7310.29.90;;0;0;0;0;0;NÃO INFORMADO;NÃO INFORMADO;0;0;Não;Não;08 - Ativo Imobilizado;Faixa de Medição: 2 Toneladas, Data da Próxima Calibração: 21/08/2026, Situação de uso: Apto
Ativo;MALAO DE FERRO - 100X165X200CM - 2 TON - 426KG (PAT0002);PAT0002;7310.29.90;;0;0;0;0;0;NÃO INFORMADO;NÃO INFORMADO;0;0;Não;Não;08 - Ativo Imobilizado;Tipo: Acessório de movimentação de cargas, Faixa de Medição: 2 Toneladas, Data da Próxima Calibração: 30/09/2026, Situação de uso: Apto
Ativo;MALAO DE FERRO - 100X117X,00CM - 800KG (PAT0003);PAT0003;7310.29.90;;0;0;0;0;0;NÃO INFORMADO;NÃO INFORMADO;0;0;Não;Não;08 - Ativo Imobilizado;Faixa de Medição: 800 Kilos, Data da Última Calibração: 13/06/2026, Situação de uso: Apto
Ativo;MALAO DE FERRO - 100X117X,00CM - 800KG (PAT0004);PAT0004;7310.29.90;;0;0;0;0;0;NÃO INFORMADO;NÃO INFORMADO;0;0;Não;Não;08 - Ativo Imobilizado;Faixa de Medição: 800 Kilos, Data da Próxima Calibração: 13/06/2026, Situação de uso: Apto
Ativo;MALAO DE FERRO - 100X105X300CM - 2,6 TON - 700KG (PAT0005);PAT0005;7310.29.90;;0;0;0;0;0;NÃO INFORMADO;NÃO INFORMADO;0;0;Não;Não;08 - Ativo Imobilizado;Faixa de Medição: 2,6 Toneladas, Data da Próxima Calibração: 21/08/2026, Situação de uso: Apto
Inativo;DETECTOR DE TENSAO RITZ DO BRASIL - H-1990 / ST-138 - 138 KV (PAT0211);PAT0211;9030.90.90;;0;0;0;0;0;RITZ DO BRASIL;H-1990 / ST-138;365;0;Não;Não;08 - Ativo Imobilizado;Número de Série: 20490, Faixa de Medição: 1 a 138KV, Inc. Total (inc.+erro) (mm): Ver FR.QLD.018, Erro Máximo Permissível (mm): Ver FR.QLD.018, Erro/ Desvio (mm): Ver FR.QLD.018, Incerteza da Medição (mm): Ver FR.QLD.018
Inativo;DECADA RESISTIVA (PAT0218);PAT0218;9030.90.90;;0;0;0;0;0;Não informado;Não informado;2;0;Não;Não;08 - Ativo Imobilizado;Tipo: Elétrico, Inc. Total (inc.+erro) (mm): Ver FR.QLD.018, Erro Máximo Permissível (mm): Ver FR.QLD.018, Erro/ Desvio (mm): Ver FR.QLD.018, Incerteza da Medição (mm): Ver FR.QLD.018
Ativo;MEGOHMETRO ANALOGICO MEGABRAS MI-5500E 5KV - 27,4X25X12,4CM - 3,9KG (PAT0221);PAT0221;9030.39.90;;0;0;0;0;0;MEGABRAS;MI-5500e;365;0;Não;Não;08 - Ativo Imobilizado;Número de Série: OG 8074 E, Tipo: Elétrico, Faixa de Medição: até 10.000.000 M© (Ohms)  (10 T©) (Ohms), Inc. Total (inc.+erro) (mm): Ver FR.QLD.018, Erro Máximo Permissível (mm): Ver FR.QLD.018, Erro/ Desvio (mm): Ver FR.QLD.018, Incerteza da Medição (mm): Ver FR.QLD.018, Data da Última Calibração: 21/08/2025, Data da Próxima Calibração: 21/08/2026
Inativo;FASIMETRO MINIPA - MFA850 - 600V AC - 0,540KG(PAT0223);PAT0223;9030.90.90;;0;0,54;13,4;8,5;4,5;MINIPA;MFA - 850;2;0;Não;Não;08 - Ativo Imobilizado;Tipo: Mecânico, Faixa de Medição: 600 V - AC, Inc. Total (inc.+erro) (mm): Ver FR.QLD.018, Erro Máximo Permissível (mm): Ver FR.QLD.018, Erro/ Desvio (mm): Ver FR.QLD.018, Incerteza da Medição (mm): Ver FR.QLD.018, Situação de uso: Inativo, sem certificado.
Inativo;ALICATE AMPERIMETRO DIGITAL (PAT0225);PAT0225;9030.33.29;;0;0;0;0;0;;;2;0;Não;Não;08 - Ativo Imobilizado;Inc. Total (inc.+erro) (mm): Ver FR.QLD.018, Erro Máximo Permissível (mm): Ver FR.QLD.018, Erro/ Desvio (mm): Ver FR.QLD.018, Incerteza da Medição (mm): Ver FR.QLD.018, Situação de uso: Sem registro
Ativo;TERMOMETRO GULTON - GULTERM 200 - 199,9°C a 199,9°C (PAT0229);PAT0229;9030.90.90;;0;0;0;0;0;GULTON;GULTERM 200;0;0;Não;Não;08 - Ativo Imobilizado;Faixa de Medição: 199,9°C a 199,9°C - 50/60Hz, Inc. Total (inc.+erro) (mm): Ver FR.QLD.018, Erro Máximo Permissível (mm): Ver FR.QLD.018, Erro/ Desvio (mm): Ver FR.QLD.018, Incerteza da Medição (mm): Ver FR.QLD.018
